profile_name,company_name,location_name,Joining,Duration,stipend,Apply_by,Apply,company_link
,,,,,,,,
Data Management,Purplle,Mumbai,Immediately,3 Months,6000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-management-internship-in-mumbai-at-purplle1647244920,https://www.purplle.com/
Back Office,Protosys Technologies Pvt Ltd,Mumbai,Immediately,3 Months,8000-12000 /month,1 Apr' 22,https://internshala.com/internship/detail/back-office-internship-in-mumbai-at-protosys-technologies-pvt-ltd1647499756,http://www.protosystech.com
Data Science,Farhan Jamil,Work From Home,Immediately,3 Months,2000 /month,1 Apr' 22,https://internshala.com/internship/detail/data-science-work-from-home-job-internship-at-farhan-jamil1647545018,https://www.linkedin.com/in/farhan-jamil-485b1192/
Operations,Next Labs,Work From Home,Immediately,5 Months,10000 /month,1 Apr' 22,https://internshala.com/internship/detail/operations-work-from-home-job-internship-at-next-labs1647520039,http://www.nextlabs.io
Data Science,KUKbit Software Lab,Work From Home,Immediately,6 Months,15000 /month,1 Apr' 22,https://internshala.com/internship/detail/data-science-work-from-home-job-internship-at-kukbit-software-lab1647520020,http://kukbitsl.com/
Business Analytics,Stirring Minds,Delhi,Immediately,2 Months,5000-10000 /month,31 Mar' 22,https://internshala.com/internship/detail/business-analytics-part-time-job-internship-at-delhi-in-stirring-minds1647514528,http://www.stirringminds.com
Business Development (Sales),GravityX Capital,Work From Home,Immediately,6 Months,8000-15000 /month,31 Mar' 22,https://internshala.com/internship/detail/business-development-sales-work-from-home-job-internship-at-gravityx-capital1647507908,http://gravityx.capital
Business Analytics,Tekie,Work From Home,Immediately,6 Months,5000-7000 /month,31 Mar' 22,https://internshala.com/internship/detail/business-analytics-work-from-home-job-internship-at-tekie1647460459,http://tekie.in
Machine Learning,Anubrain Technology Private Limited,Work From Home,Immediately,3 Months,2000 /month,31 Mar' 22,https://internshala.com/internship/detail/machine-learning-work-from-home-job-internship-at-anubrain-technology-private-limited1647510081,
Data Analytics (Power BI),Go Digital Technology Consulting,Mumbai,Immediately,3 Months,8000 /month +  Incentives,31 Mar' 22,https://internshala.com/internship/detail/data-analytics-power-bi-internship-in-mumbai-at-go-digital-technology-consulting1647510071,http://godigitaltc.com/
Business Analytics,Focus Edumatics Private Limited,Work From Home,Immediately,6 Months,15000 /month,31 Mar' 22,https://internshala.com/internship/detail/business-analytics-work-from-home-job-internship-at-focus-edumatics-private-limited1647509943,http://focusedumatics.com
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,6 Months,2000-4000 /month,31 Mar' 22,https://internshala.com/internship/detail/product-management-technical-work-from-home-job-internship-at-across-the-globe-atg1647502381,
Operations,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Immediately,3 Months,10000-15000 /month,1 Apr' 22,https://internshala.com/internship/detail/operations-internship-in-pune-pimpri-chinchwad-at-exa-mobility-india-private-limited1647509139,https://www.exa-mobility.com
Business Analytics,Aurus,Ahmedabad,Immediately,6 Months,15000 /month,31 Mar' 22,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-aurus1647440444,http://aurusjewels.com
Computer Vision & Deep Learning,Drive Analytics,Work From Home,Immediately,6 Months,13500-18500 /month,31 Mar' 22,https://internshala.com/internship/detail/computer-vision-deep-learning-work-from-home-job-internship-at-drive-analytics1647501449,http://www.drive-analytics.com
Business Analytics,Next Generation Skills Analytics And Testing Private Limited,Work From Home,Immediately,6 Months,1000 /month,31 Mar' 22,https://internshala.com/internship/detail/business-analytics-work-from-home-job-internship-at-next-generation-skills-analytics-and-testing-private-limited1647487228,http://negsat.com
Data Analytics,NeoDove Technologies Private Limited,Work From Home,Immediately,4 Months,5000 /month,31 Mar' 22,https://internshala.com/internship/detail/data-analytics-work-from-home-job-internship-at-neodove-technologies-private-limited1647500863,
AI Development,Todquest Enterprises Private Limited,"Agra, Delhi, Lucknow, Noida",Immediately,3 Months,15000-25000 /month,31 Mar' 22,https://internshala.com/internship/detail/ai-development-internship-in-multiple-locations-at-todquest-enterprises-private-limited1647497719,https://www.linkedin.com/company/todquest-enterprises/
XBRL Development,Fine Data Analytics,Work From Home,Immediately,6 Months,10000-12000 /month,31 Mar' 22,https://internshala.com/internship/detail/xbrl-development-work-from-home-job-internship-at-fine-data-analytics1647501788,https://www.refine.finance/
Operations,Klugheit Software LLP,Pune,Immediately,4 Months,12000-14000 /month,31 Mar' 22,https://internshala.com/internship/detail/operations-part-time-job-internship-at-pune-in-klugheit-software-llp1647491988,http://klugheit.in
Investment Analytics,Flyboat Startups And Innovations,Work From Home,Immediately,6 Months,6000 /month,31 Mar' 22,https://internshala.com/internship/detail/investment-analytics-work-from-home-job-internship-at-flyboat-startups-and-innovations1647255167,http://www.flyboat.in
Data Analytics,Alfred Technologies (OPC) Private Limited,Work From Home,Immediately,1 Month,9000 /month,31 Mar' 22,https://internshala.com/internship/detail/data-analytics-work-from-home-job-internship-at-alfred-technologies-opc-private-limited1647468597,
Data Annotation,Intelgic,Kolkata,Immediately,3 Months,8000 /month,31 Mar' 22,https://internshala.com/internship/detail/data-annotation-internship-in-kolkata-at-intelgic1647498413,http://intelgic.com
Pilot Development - Medical Imaging,Pivotal Teleradiology,Work From Home,Immediately,1 Month,1000-1100 /month,31 Mar' 22,https://internshala.com/internship/detail/pilot-development-medical-imaging-work-from-home-job-internship-at-pivotal-teleradiology1647436257,
Content Writing (Data Science),Let The Data Confess,Work From Home,Immediately,3 Months,3000 /month,31 Mar' 22,https://internshala.com/internship/detail/content-writing-data-science-work-from-home-job-internship-at-let-the-data-confess1647435367,
Data Labelling,Wobot Intelligence Private Limited,Work From Home,Immediately,3 Months,5000 /month,30 Mar' 22,https://internshala.com/internship/detail/data-labelling-work-from-home-job-internship-at-wobot-intelligence-private-limited1647437820,https://wobot.ai/
Accounts,Shubh Fashion,Kolkata,1 May - 31 May' 22,3 Months,10000 /month,30 Mar' 22,https://internshala.com/internship/detail/accounts-internship-in-kolkata-at-shubh-fashion1647423579,
Data Science,Statvalu Private Limited,Work From Home,Immediately,6 Months,15000-25000 /month,30 Mar' 22,https://internshala.com/internship/detail/data-science-work-from-home-job-internship-at-statvalu-private-limited1647425282,http://statvalu.com
Data Analytics,Nuvoretail,Work From Home,Immediately,3 Months,15000 /month,31 Mar' 22,https://internshala.com/internship/detail/data-analytics-work-from-home-job-internship-at-nuvoretail1647432707,http://www.nuvoretail.com
New Product Analysis,Imagine Trend,Chennai,Immediately,3 Months,10000-20000 /month,2 Apr' 22,https://internshala.com/internship/detail/new-product-analysis-internship-in-chennai-at-imagine-trend1647422150,
Python Software Development,Expansive Solutions,Pune,Immediately,6 Months,10000 /month,30 Mar' 22,https://internshala.com/internship/detail/python-software-development-internship-in-pune-at-expansive-solutions1647405140,http://expansivegroup.com
Power BI Development,Techdome Solutions Private Limited,Work From Home,Immediately,3 Months,5000 /month,30 Mar' 22,https://internshala.com/internship/detail/power-bi-development-work-from-home-job-internship-at-techdome-solutions-private-limited1647404547,
Data Science,Sourabh Gupta,Work From Home,Immediately,5 Months,1000 /month +  Incentives,30 Mar' 22,https://internshala.com/internship/detail/data-science-work-from-home-job-internship-at-sourabh-gupta1647354235,https://www.linkedin.com/in/sourabhgupta16/
Machine Learning,Buddha Education Association Incorporation,Work From Home,Immediately,1 Month,6000 /month,30 Mar' 22,https://internshala.com/internship/detail/machine-learning-work-from-home-job-internship-at-buddha-education-association-incorporation1647415089,http://www.buddhanet.net/
Image Processing (ML & AI),Cube Highways And Transportation Assets Advisors Private Limited,Hyderabad,Immediately,6 Months,20000 /month,30 Mar' 22,https://internshala.com/internship/detail/image-processing-ml-ai-internship-in-hyderabad-at-cube-highways-and-transportation-assets-advisors-private-limited1647353255,http://cubehighways.com
Machine Learning,Newgen Creations Private Limited,"Bangalore, Hyderabad",Immediately,2 Months,5000 /month,30 Mar' 22,https://internshala.com/internship/detail/machine-learning-internship-in-bangalore-hyderabad-at-newgen-creations-private-limited1647410792,
HR Analytics,Vistaar Financial Services Private Limited,Bangalore,Immediately,1 Month,10000 /month,30 Mar' 22,https://internshala.com/internship/detail/hr-analytics-internship-in-bangalore-at-vistaar-financial-services-private-limited1647345492,https://www.vistaarfinance.com/
Data Analytics,Octobuzz,Hyderabad,Immediately,3 Months,10000 /month,29 Mar' 22,https://internshala.com/internship/detail/data-analytics-internship-in-hyderabad-at-octobuzz1647343764,http://octobuzz.ai
Teaching (Data Science),Unschool,Work From Home,Immediately,3 Months,1500 /month,29 Mar' 22,https://internshala.com/internship/detail/teaching-data-science-work-from-home-job-internship-at-unschool1647342558,https://instagram.com/team_ulead
Teaching (Machine Learning),Unschool,Work From Home,Immediately,3 Months,1500 /month,29 Mar' 22,https://internshala.com/internship/detail/teaching-machine-learning-work-from-home-job-internship-at-unschool1647342338,https://instagram.com/team_ulead
Data Science & Computer Vision,Synergy Labs,Gurgaon,Immediately,6 Months,15000 /month,29 Mar' 22,https://internshala.com/internship/detail/data-science-computer-vision-internship-in-gurgaon-at-synergy-labs1647336598,http://synlabs.io
E-Commerce,Praxis Home Retail Limited,Mumbai,Immediately,2 Months,10000 /month,29 Mar' 22,https://internshala.com/internship/detail/e-commerce-internship-in-mumbai-at-praxis-home-retail-limited1647336913,https://www.praxisretail.in/
Research (Energy Access & Mini-grids),GSES India Sustainable Energy Private Limited,Delhi,Immediately,6 Months,13000-16000 /month,29 Mar' 22,https://internshala.com/internship/detail/research-energy-access-mini-grids-internship-in-delhi-at-gses-india-sustainable-energy-private-limited1647338706,http://www.gses.in
Data Labelling,Sciffer Analytics Private Limited,Work From Home,Immediately,3 Months,7000 /month,29 Mar' 22,https://internshala.com/internship/detail/data-labelling-work-from-home-job-internship-at-sciffer-analytics-private-limited1647338519,
Subject Matter Expert (Machine Learning),Codersarts,Work From Home,Immediately,6 Months,12000-15000 /month,29 Mar' 22,https://internshala.com/internship/detail/subject-matter-expert-machine-learning-work-from-home-job-internship-at-codersarts1647326755,https://www.codersarts.com
Operations,Go Green Layer India Private Limited,Gurgaon,Immediately,3 Months,5000-7000 /month,29 Mar' 22,https://internshala.com/internship/detail/operations-internship-in-gurgaon-at-go-green-layer-india-private-limited1647332233,
Sentiment Classification - Manual Annotation,Dun & Bradstreet Technologies & Data Services Private Limited,Work From Home,Immediately,3 Months,5000 /month,29 Mar' 22,https://internshala.com/internship/detail/sentiment-classification-manual-annotation-work-from-home-job-internship-at-dun-bradstreet-technologies-data-services-private-limited1647332514,http://www.dnbtechnology.com
Data Analytics,Mswipe Technologies,Mumbai,Immediately,3 Months,10000 /month,29 Mar' 22,https://internshala.com/internship/detail/data-analytics-internship-in-mumbai-at-mswipe-technologies1647327584,http://www.mswipe.com
Business Analysis,Devship (OPC) Private Limited,Chennai,Immediately,6 Months,10000-15000 /month,29 Mar' 22,https://internshala.com/internship/detail/business-analysis-internship-in-chennai-at-devship-opc-private-limited1647333612,
PPC Trainee,CHL Marketing Solutions Private Limited (CHLEAR),Bangalore,Immediately,6 Months,5000 /month,29 Mar' 22,https://internshala.com/internship/detail/ppc-trainee-internship-in-bangalore-at-chl-marketing-solutions-private-limited-chlear1646807009,
Technical Business Analytics,Procmart,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Amaravati",Immediately,3 Months,10000 /month,29 Mar' 22,https://internshala.com/internship/detail/technical-business-analytics-internship-in-multiple-locations-at-procmart1647322517,https://procmart.com/
Business Analytics,Coding Junior,Work From Home,Immediately,6 Months,5000 /month,29 Mar' 22,https://internshala.com/internship/detail/business-analytics-work-from-home-job-internship-at-coding-junior1647322088,
Web Augmented Reality Development,Chirpn IT Solutions,"Jodhpur, Pune",Immediately,6 Months,10000 /month,29 Mar' 22,https://internshala.com/internship/detail/web-augmented-reality-development-internship-in-jodhpur-pune-at-chirpn-it-solutions1647310203,http://www.chirpn.com
Business Analysis - Sales Strategy,Kivi Technologies,"Delhi, Gurgaon",Immediately,2 Months,14000 /month,29 Mar' 22,https://internshala.com/internship/detail/business-analysis-sales-strategy-internship-in-delhi-gurgaon-at-kivi-technologies1647277681,http://kivihealth.com
Business Analyst,Tag8,Mumbai,Immediately,6 Months,7500 /month,29 Mar' 22,https://internshala.com/internship/detail/business-analyst-internship-in-mumbai-at-tag81647321678,http://tag8.in/
Implementation Consulting,Zenoti,Hyderabad,Immediately,6 Months,25000 /month,29 Mar' 22,https://internshala.com/internship/detail/implementation-consulting-internship-in-hyderabad-at-zenoti1647319535,http://www.zenoti.com
Data Annotation (Machine Learning),Spritle Software,"Chennai, Coimbatore, Madurai, Trichey",Immediately,4 Months,8000-10000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-annotation-machine-learning-internship-in-multiple-locations-at-spritle-software1647262057,https://www.spritle.com
Business Analytics,Sabka dentist,Mumbai,Immediately,3 Months,10000 /month,28 Mar' 22,https://internshala.com/internship/detail/business-analytics-internship-in-mumbai-at-sabka-dentist1647015482,
Web Scraping,RealtyAI,Work From Home,Immediately,3 Months,3000 lump sum,28 Mar' 22,https://internshala.com/internship/detail/web-scraping-work-from-home-job-internship-at-realtyai1647254561,
Data Engineering,Motivity Labs,Hyderabad,Immediately,6 Months,15000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-engineering-internship-in-hyderabad-at-motivity-labs1647259251,https://motivitylabs.com/
Machine Learning,SkillBit,Work From Home,Immediately,3 Months,5000 /month,29 Mar' 22,https://internshala.com/internship/detail/machine-learning-work-from-home-job-internship-at-skillbit1647250636,http://skillbithr.com
Data Engineering,Truthics Solutions LLP,Work From Home,Immediately,3 Months,5000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-engineering-work-from-home-job-internship-at-truthics-solutions-llp1647250196,
Product Management,Bip,Work From Home,Immediately,6 Months,10000-20000 /month,28 Mar' 22,https://internshala.com/internship/detail/product-management-work-from-home-job-internship-at-bip1647241517,https://bip.so
Data Analytics,GrayQuest Education Finance Private Limited,Mumbai,Immediately,2 Months,8000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-analytics-internship-in-mumbai-at-grayquest-education-finance-private-limited1647248628,https://www.grayquest.com/
Quality Analysis (QA),Bewgle,"Pune, Bangalore",Immediately,2 Months,15000 /month,28 Mar' 22,https://internshala.com/internship/detail/quality-analysis-qa-internship-in-pune-bangalore-at-bewgle1647236460,https://bewgle.com/
Artificial Intelligence (CV & NLP),The Renal Project,Work From Home,Immediately,6 Months,8000-12000 /month,28 Mar' 22,https://internshala.com/internship/detail/artificial-intelligence-cv-nlp-work-from-home-job-internship-at-the-renal-project1647237972,https://therenalproject.com/
Data Science,Techieyan Technologies,Hyderabad,Immediately,6 Months,3000 /month,29 Mar' 22,https://internshala.com/internship/detail/data-science-internship-in-hyderabad-at-techieyan-technologies1647240888,http://techieyantechnologies.com/
Article Writing - Machine Learning Applications,Clavictor Academy Private Limited,Work From Home,Immediately,2 Months,4000-9000 /month,28 Mar' 22,https://internshala.com/internship/detail/article-writing-machine-learning-applications-work-from-home-job-internship-at-clavictor-academy-private-limited1647174882,http://clavimate.com
Product Management (Machine Learning),Revca,Work From Home,Immediately,3 Months,8000 /month,28 Mar' 22,https://internshala.com/internship/detail/product-management-machine-learning-work-from-home-job-internship-at-revca1647238862,https://revca.io/
Data Science,Vindiata Consulting Private Limited,Work From Home,Immediately,6 Months,15000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-science-work-from-home-job-internship-at-vindiata-consulting-private-limited1647237648,http://www.vindiata.com
Digital Marketing/Data Analysis,Dignifyd Digital Solutions,"Noida, Delhi",Immediately,6 Months,10000-15000 /month,28 Mar' 22,https://internshala.com/internship/detail/digital-marketing-data-analysis-internship-in-noida-delhi-at-dignifyd-digital-solutions1647235438,
Web Development,Tiara,Work From Home,Immediately,3 Months,3500 /month,28 Mar' 22,https://internshala.com/internship/detail/web-development-work-from-home-job-internship-at-tiara1647107000,
Data Analytics,Cafe Tatva Ventures LLP,Pune,Immediately,6 Months,15000-20000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-analytics-internship-in-pune-at-cafe-tatva-ventures-llp1647233100,
Data Analytics,Monster India,Bangalore,Immediately,6 Months,10000-15000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-analytics-internship-in-bangalore-at-monster-india1647232684,http://monsterindia.com
Data Analytics,EkoSight Technologies Private Limited,Work From Home,Immediately,3 Months,15000 /month,28 Mar' 22,https://internshala.com/internship/detail/data-analytics-work-from-home-job-internship-at-ekosight-technologies-private-limited1647201405,
Market Research & Business Analysis,Innovation Scaleup Advisors Private Limited,Bangalore,Immediately,6 Months,14900 /month,28 Mar' 22,https://internshala.com/internship/detail/market-research-business-analysis-part-time-job-internship-at-bangalore-in-innovation-scaleup-advisors-private-limited1647197135,http://innovationscaleup.com
